,team,points,points_against,opponent,points_diff,win,northampton_home,irish_home,leicester_home,saracens_home,sale_home,welsh_home,harlequins_home,exeter_home,gloucester_home,bath_home,newcastle_home,wasps_home,northampton,irish,leicester,saracens,sale,welsh,harlequins,exeter,gloucester,bath,newcastle,wasps,gloucester_opp,harlequins_opp,newcastle_opp,wasps_opp,bath_opp,exeter_opp,saracens_opp,leicester_opp,sale_opp,welsh_opp,irish_opp,northampton_opp,game,negatives,northampton_points,irish_points,leicester_points,saracens_points,sale_points,welsh_points,harlequins_points,exeter_points,gloucester_points,bath_points,newcastle_points,wasps_points,northampton_win,irish_win,leicester_win,saracens_win,sale_win,welsh_win,harlequins_win,exeter_win,gloucester_win,bath_win,newcastle_win,wasps_win,round,1415
0,northampton,53.0,6.0,gloucester,47.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,irish,15.0,20.0,harlequins,-5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-1,0.0,15.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,leicester,36.0,17.0,newcastle,19.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,-1,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
3,saracens,34.0,28.0,wasps,6.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
4,sale,20.0,29.0,bath,-9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,welsh,0.0,52.0,exeter,-52.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,harlequins,0.0,39.0,saracens,-39.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,-1,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
7,exeter,20.0,24.0,leicester,-4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-1,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
8,gloucester,34.0,27.0,sale,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,2,1
9,bath,53.0,26.0,welsh,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,-1,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,53.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,2,1
